GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US01073000100,01073000100,"Census Tract 1, Jefferson County, Alabama",1979,234,36,46,0,11,0,11,0,11,0,11,0,11,7,13,0,11,21,24,5,11,75,64,73,67,55,40,102,75,0,11,505,130,171,123,152,88,422,124,199,89,114,70,42,31,0,11,0,11
1400000US01073000300,01073000300,"Census Tract 3, Jefferson County, Alabama",1653,281,13,22,0,11,0,11,0,11,0,11,25,40,0,11,10,18,16,25,0,11,0,11,43,49,82,57,122,76,50,45,618,204,72,52,90,58,224,105,100,84,140,72,10,16,38,29,0,11
1400000US01073000400,01073000400,"Census Tract 4, Jefferson County, Alabama",2394,238,46,74,0,11,0,11,0,11,0,11,0,11,16,25,0,11,21,22,0,11,27,27,61,49,58,42,236,176,101,85,957,184,107,61,108,56,458,141,94,65,96,56,8,13,0,11,0,11
1400000US01073000500,01073000500,"Census Tract 5, Jefferson County, Alabama",1945,237,9,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,12,19,30,94,79,7,10,88,60,196,110,42,32,752,187,65,47,45,40,269,95,145,68,192,110,3,8,0,11,12,19
1400000US01073000700,01073000700,"Census Tract 7, Jefferson County, Alabama",1356,183,19,14,0,11,0,11,0,11,0,11,5,8,8,9,4,7,11,11,6,9,0,11,19,19,69,45,134,68,35,21,538,130,47,23,73,42,238,88,59,36,58,37,33,33,0,11,0,11
1400000US01073000800,01073000800,"Census Tract 8, Jefferson County, Alabama",2685,261,7,10,0,11,9,14,0,11,0,11,0,11,0,11,0,11,0,11,0,11,45,46,109,60,189,81,292,139,135,74,699,166,95,55,225,105,455,125,92,50,281,118,33,41,19,22,0,11
1400000US01073001100,01073001100,"Census Tract 11, Jefferson County, Alabama",3046,364,48,54,0,11,0,11,0,11,9,18,20,26,0,11,0,11,0,11,8,17,0,11,33,48,81,85,100,86,20,35,651,199,105,106,156,114,730,216,276,104,559,193,237,125,13,22,0,11
1400000US01073001200,01073001200,"Census Tract 12, Jefferson County, Alabama",2156,266,22,31,0,11,0,11,0,11,0,11,29,29,0,11,0,11,78,70,0,11,14,20,15,17,50,43,41,38,36,34,738,175,188,90,58,35,463,145,143,78,196,101,60,38,0,11,25,23
1400000US01073001400,01073001400,"Census Tract 14, Jefferson County, Alabama",1526,144,5,9,0,11,0,11,0,11,0,11,0,11,9,12,0,11,0,11,0,11,5,10,69,48,40,32,84,53,44,30,426,112,67,44,114,49,300,90,119,56,131,49,81,42,10,16,22,27
1400000US01073001500,01073001500,"Census Tract 15, Jefferson County, Alabama",1874,250,25,24,0,11,0,11,0,11,0,11,0,11,18,29,21,35,20,33,0,11,27,43,15,22,197,116,108,70,77,62,515,159,77,43,98,63,367,147,97,51,150,75,39,52,23,33,0,11
1400000US01073001600,01073001600,"Census Tract 16, Jefferson County, Alabama",2378,358,115,92,0,11,0,11,0,11,3,8,15,20,0,11,4,8,19,33,22,22,49,33,60,57,151,89,92,77,35,32,677,244,129,81,157,117,421,153,244,117,143,82,23,22,19,26,0,11
1400000US01073001902,01073001902,"Census Tract 19.02, Jefferson County, Alabama",1222,141,52,36,0,11,0,11,0,11,0,11,15,18,0,11,0,11,0,11,0,11,20,22,39,31,45,29,77,53,71,37,338,78,78,41,83,43,203,64,131,58,70,39,0,11,0,11,0,11
1400000US01073002000,01073002000,"Census Tract 20, Jefferson County, Alabama",2501,346,86,70,0,11,0,11,0,11,0,11,17,20,0,11,0,11,23,34,0,11,31,49,26,33,145,96,178,99,55,48,677,155,95,77,151,86,491,139,265,165,180,92,64,51,7,16,10,18
1400000US01073002100,01073002100,"Census Tract 21, Jefferson County, Alabama",1915,241,20,24,0,11,0,11,0,11,0,11,0,11,0,11,13,21,16,23,0,11,5,10,10,15,46,35,191,92,23,26,653,174,56,70,118,80,367,145,195,149,176,106,0,11,15,24,11,18
1400000US01073002200,01073002200,"Census Tract 22, Jefferson County, Alabama",1635,155,11,13,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,13,0,11,11,18,0,11,91,52,67,55,45,27,632,112,166,82,91,43,191,59,148,69,135,56,26,26,9,13,0,11
1400000US01073002303,01073002303,"Census Tract 23.03, Jefferson County, Alabama",1976,224,0,11,0,11,0,11,0,11,0,11,34,51,0,11,0,11,14,21,8,13,0,11,8,12,64,51,100,78,67,56,592,186,131,75,125,65,419,152,176,89,145,62,67,45,19,22,7,10
1400000US01073002305,01073002305,"Census Tract 23.05, Jefferson County, Alabama",2284,240,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,10,16,14,20,51,46,48,52,144,80,150,81,110,54,363,116,106,52,697,157,340,96,184,70,67,47
1400000US01073002306,01073002306,"Census Tract 23.06, Jefferson County, Alabama",3070,216,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,8,14,0,11,0,11,29,45,68,62,31,36,35,30,475,190,31,29,166,86,458,137,117,64,935,168,332,90,267,90,118,74
1400000US01073002400,01073002400,"Census Tract 24, Jefferson County, Alabama",2552,287,37,41,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,18,22,16,16,110,81,109,75,178,107,101,56,459,166,164,78,140,61,461,132,199,98,447,165,91,54,16,19,6,11
1400000US01073002700,01073002700,"Census Tract 27, Jefferson County, Alabama",2959,293,25,22,0,11,0,11,0,11,0,11,5,10,0,11,10,15,51,55,0,11,45,32,82,42,134,72,148,79,31,23,693,184,160,66,86,35,487,128,63,43,528,155,201,86,166,74,44,45
1400000US01073002900,01073002900,"Census Tract 29, Jefferson County, Alabama",1672,210,22,26,0,11,0,11,0,11,0,11,24,25,0,11,0,11,0,11,0,11,81,68,12,20,139,94,228,132,50,47,551,178,49,41,90,70,208,80,145,81,60,67,13,21,0,11,0,11
1400000US01073003001,01073003001,"Census Tract 30.01, Jefferson County, Alabama",1557,246,46,66,0,11,0,11,12,23,0,11,0,11,0,11,0,11,0,11,28,46,19,27,9,14,76,63,51,53,55,57,534,169,94,59,72,57,289,130,48,41,169,97,35,32,5,11,15,24
1400000US01073003002,01073003002,"Census Tract 30.02, Jefferson County, Alabama",1736,213,33,25,6,9,0,11,0,11,0,11,24,29,14,16,0,11,13,14,14,21,5,8,6,8,63,44,154,66,86,63,459,124,84,46,48,34,326,107,146,59,132,41,110,52,7,9,6,9
1400000US01073003100,01073003100,"Census Tract 31, Jefferson County, Alabama",2438,309,60,58,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,19,33,29,48,19,21,83,71,94,65,127,81,570,184,165,91,135,77,556,208,189,74,297,126,77,52,18,29,0,11
1400000US01073003200,01073003200,"Census Tract 32, Jefferson County, Alabama",715,125,6,15,0,11,0,11,0,11,0,11,3,5,3,6,0,11,3,5,4,7,6,10,7,8,39,31,66,48,9,10,221,82,24,26,32,25,165,62,61,38,45,35,21,26,0,11,0,11
1400000US01073003300,01073003300,"Census Tract 33, Jefferson County, Alabama",593,139,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,9,0,11,53,42,9,14,190,61,26,30,18,17,211,105,53,45,27,28,0,11,0,11,0,11
1400000US01073003400,01073003400,"Census Tract 34, Jefferson County, Alabama",1618,217,28,24,0,11,0,11,0,11,0,11,5,7,0,11,3,6,3,7,0,11,39,30,10,12,87,45,113,55,24,27,437,150,167,75,101,49,366,101,139,67,58,41,35,36,3,7,0,11
