GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US05119000200,05119000200,"Census Tract 2, Pulaski County, Arkansas",588,82,20,19,0,11,0,11,0,11,0,11,0,11,0,11,4,6,4,6,5,8,5,7,13,14,22,18,68,32,13,9,210,66,14,12,67,31,105,39,23,15,8,9,7,7,0,11,0,11
1400000US05119000500,05119000500,"Census Tract 5, Pulaski County, Arkansas",1789,250,10,13,0,11,0,11,0,11,4,7,0,11,0,11,0,11,7,11,0,11,4,10,38,36,20,22,164,117,26,30,619,186,82,53,80,52,439,112,139,77,110,47,27,24,0,11,20,22
1400000US05119001100,05119001100,"Census Tract 11, Pulaski County, Arkansas",1661,316,23,37,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,29,36,0,11,24,28,35,28,78,56,80,84,576,201,58,61,80,63,334,131,52,52,224,127,59,40,0,11,9,15
1400000US05119001200,05119001200,"Census Tract 12, Pulaski County, Arkansas",1051,265,11,12,0,11,0,11,0,11,0,11,0,11,0,11,0,11,5,10,1,2,19,18,7,10,49,32,123,69,36,23,485,184,57,39,29,19,151,49,32,22,19,17,24,24,0,11,3,5
1400000US05119001300,05119001300,"Census Tract 13, Pulaski County, Arkansas",1626,305,5,7,0,11,0,11,0,11,0,11,6,9,0,11,0,11,0,11,6,8,0,11,90,63,40,34,154,88,24,22,609,191,62,38,114,56,255,94,104,51,111,55,35,20,11,17,0,11
1400000US05119001501,05119001501,"Census Tract 15.01, Pulaski County, Arkansas",3026,304,0,11,0,11,0,11,0,11,3,6,0,11,0,11,33,53,0,11,0,11,53,65,0,11,12,21,0,11,46,55,315,215,41,39,76,64,488,177,96,73,964,197,495,149,348,143,56,55
1400000US05119001502,05119001502,"Census Tract 15.02, Pulaski County, Arkansas",2729,337,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,131,149,0,11,0,11,105,81,92,95,230,106,439,266,153,109,732,196,467,159,315,149,65,55
1400000US05119001600,05119001600,"Census Tract 16, Pulaski County, Arkansas",4340,323,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,12,20,23,35,14,22,12,19,90,77,14,22,404,165,66,64,58,47,367,135,154,88,1650,244,648,166,482,152,346,160
1400000US05119001800,05119001800,"Census Tract 18, Pulaski County, Arkansas",2902,334,84,74,0,11,0,11,0,11,0,11,0,11,0,11,10,17,15,17,8,13,69,64,55,47,35,31,177,81,85,61,629,199,282,138,134,67,700,195,126,73,369,124,107,70,17,20,0,11
1400000US05119001900,05119001900,"Census Tract 19, Pulaski County, Arkansas",2129,312,39,36,0,11,0,11,0,11,7,14,9,14,14,22,0,11,0,11,33,48,0,11,68,79,48,36,41,39,57,42,834,203,46,43,80,53,526,169,73,44,216,91,38,30,0,11,0,11
1400000US05119002001,05119002001,"Census Tract 20.01, Pulaski County, Arkansas",3044,375,50,39,0,16,0,16,0,16,0,16,19,33,25,46,0,16,0,16,0,16,10,21,38,38,40,50,87,64,30,36,1341,324,127,116,118,82,593,246,182,129,285,130,99,83,0,16,0,16
1400000US05119002002,05119002002,"Census Tract 20.02, Pulaski County, Arkansas",2832,361,67,67,0,11,29,43,0,11,74,70,0,11,0,11,0,11,34,51,0,11,25,28,68,60,113,90,142,101,46,37,1013,280,93,58,168,62,462,123,232,100,189,95,77,65,0,11,0,11
1400000US05119002102,05119002102,"Census Tract 21.02, Pulaski County, Arkansas",2631,285,13,18,0,11,0,11,0,11,0,11,43,63,0,11,0,11,32,52,0,11,11,17,0,11,31,26,73,52,21,24,746,210,152,77,278,107,364,125,87,51,462,155,235,95,33,29,50,40
1400000US05119002103,05119002103,"Census Tract 21.03, Pulaski County, Arkansas",2665,254,35,54,0,11,0,11,0,11,0,11,8,16,0,11,0,11,0,11,0,11,0,11,0,11,7,16,23,36,27,21,447,154,57,66,98,77,672,144,165,90,674,194,318,124,48,37,86,67
1400000US05119002104,05119002104,"Census Tract 21.04, Pulaski County, Arkansas",3807,372,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,7,13,50,69,11,26,549,182,53,44,163,96,650,254,103,87,1429,269,492,206,214,137,86,60
