GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US55079000101,55079000101,"Census Tract 1.01, Milwaukee County, Wisconsin",2695,287,29,35,0,9,0,9,0,9,0,9,3,7,0,9,17,28,72,63,40,63,98,93,191,135,127,103,123,94,42,44,525,172,48,73,397,172,191,100,159,90,481,159,72,50,52,62,28,34
1400000US55079000102,55079000102,"Census Tract 1.02, Milwaukee County, Wisconsin",2767,287,104,109,0,9,0,9,0,9,0,9,3,5,0,9,2,5,3,6,0,9,38,35,52,44,60,49,125,76,27,22,677,145,80,56,193,72,594,144,203,92,346,88,215,74,36,25,9,15
1400000US55079000201,55079000201,"Census Tract 2.01, Milwaukee County, Wisconsin",2909,396,30,41,31,56,0,12,0,12,0,12,0,12,0,12,0,12,86,108,29,52,15,28,55,55,172,180,126,106,65,60,879,342,146,131,174,93,503,183,211,124,330,132,46,46,0,12,11,18
1400000US55079000202,55079000202,"Census Tract 2.02, Milwaukee County, Wisconsin",3955,291,39,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,37,15,24,106,77,88,72,113,73,0,12,928,235,123,85,353,134,419,106,391,169,799,216,451,164,66,88,41,37
1400000US55079000301,55079000301,"Census Tract 3.01, Milwaukee County, Wisconsin",1170,67,23,27,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,9,10,1,2,0,9,43,32,24,22,333,81,25,19,75,27,196,79,131,44,250,58,20,19,20,16,20,25
1400000US55079000302,55079000302,"Census Tract 3.02, Milwaukee County, Wisconsin",1700,150,17,19,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,5,8,35,32,9,15,67,33,57,31,408,105,81,39,135,53,305,78,202,67,171,60,204,66,4,9,0,9
1400000US55079000303,55079000303,"Census Tract 3.03, Milwaukee County, Wisconsin",1031,104,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,7,10,10,12,12,19,46,31,62,38,238,70,34,21,33,27,304,84,92,41,134,64,38,25,7,9,14,22
1400000US55079000304,55079000304,"Census Tract 3.04, Milwaukee County, Wisconsin",2239,208,50,47,0,9,0,9,0,9,14,21,0,9,2,4,0,9,0,9,7,12,18,18,12,18,19,22,158,98,0,9,481,132,107,68,100,46,409,118,141,60,405,106,223,88,82,65,11,13
1400000US55079000400,55079000400,"Census Tract 4, Milwaukee County, Wisconsin",1485,136,9,16,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,6,3,6,31,33,37,39,9,15,483,117,66,52,98,65,405,117,77,61,202,134,62,54,0,9,0,9
