GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US22071000100,22071000100,"Census Tract 1, Orleans Parish, Louisiana",2441,249,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,12,1,2,0,12,78,68,9,14,83,84,5,9,444,139,29,33,100,47,387,132,186,85,673,161,244,82,154,88,32,39
1400000US22071000200,22071000200,"Census Tract 2, Orleans Parish, Louisiana",972,226,6,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,6,4,8,18,21,16,20,85,79,104,89,12,17,258,76,44,40,15,15,222,84,21,33,82,36,73,37,8,13,0,12
1400000US22071000300,22071000300,"Census Tract 3, Orleans Parish, Louisiana",909,133,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,10,13,14,13,15,29,30,36,29,19,20,55,53,291,91,65,34,77,46,142,60,38,38,54,30,52,31,11,15,0,12
1400000US22071000400,22071000400,"Census Tract 4, Orleans Parish, Louisiana",1513,184,22,21,0,12,0,12,0,12,0,12,36,52,0,12,0,12,15,16,15,17,14,13,60,51,74,45,58,49,56,39,545,145,11,20,80,38,305,106,46,34,132,51,27,20,17,16,0,12
1400000US22071000601,22071000601,"Census Tract 6.01, Orleans Parish, Louisiana",562,106,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,22,11,12,41,49,20,22,98,71,68,47,33,26,141,67,13,16,16,21,68,40,32,32,0,12,0,12,0,12,0,12
1400000US22071000602,22071000602,"Census Tract 6.02, Orleans Parish, Louisiana",1631,132,53,33,0,12,0,12,0,12,5,7,0,12,0,12,31,29,4,7,9,13,60,49,43,33,65,36,121,77,51,37,342,107,110,54,83,42,278,68,72,44,184,68,115,75,5,7,0,12
1400000US22071000603,22071000603,"Census Tract 6.03, Orleans Parish, Louisiana",765,175,8,12,0,12,0,12,0,12,0,12,0,12,0,12,7,11,35,32,0,12,42,44,0,12,12,13,84,66,21,24,265,111,40,34,27,20,151,78,12,15,35,33,10,12,16,26,0,12
1400000US22071000604,22071000604,"Census Tract 6.04, Orleans Parish, Louisiana",2779,379,38,44,0,12,0,12,0,12,0,12,0,12,0,12,11,17,43,40,56,56,46,51,62,58,25,38,75,47,9,14,723,225,171,91,250,143,725,215,181,85,281,106,83,54,0,12,0,12
1400000US22071000605,22071000605,"Census Tract 6.05, Orleans Parish, Louisiana",1390,122,13,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,19,0,12,27,24,19,18,63,43,96,49,23,23,455,92,65,44,36,21,205,56,85,45,195,72,93,47,6,9,0,12
1400000US22071000606,22071000606,"Census Tract 6.06, Orleans Parish, Louisiana",3343,290,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,14,0,12,30,34,6,16,24,18,29,37,46,47,957,236,121,111,143,63,595,159,360,155,630,183,273,105,97,74,24,24
1400000US22071000607,22071000607,"Census Tract 6.07, Orleans Parish, Louisiana",3120,249,34,31,0,12,0,12,0,12,0,12,12,19,0,12,0,12,7,11,11,19,7,11,19,32,36,49,45,51,113,85,676,196,58,43,167,90,617,208,143,72,704,165,410,127,16,19,45,39
1400000US22071000611,22071000611,"Census Tract 6.11, Orleans Parish, Louisiana",3243,365,70,51,0,12,0,12,0,12,0,12,0,12,8,13,27,36,13,19,10,15,66,44,33,27,53,65,200,98,178,108,1259,316,99,69,133,78,693,232,95,60,225,127,61,40,8,12,12,20
1400000US22071000612,22071000612,"Census Tract 6.12, Orleans Parish, Louisiana",1205,197,0,12,0,12,0,12,0,12,19,30,0,12,0,12,0,12,6,10,0,12,10,17,35,32,10,12,0,12,45,34,115,51,22,19,27,21,104,44,33,28,287,66,197,62,246,64,49,32
1400000US22071000613,22071000613,"Census Tract 6.13, Orleans Parish, Louisiana",3042,326,40,32,0,17,0,17,0,17,0,17,0,17,8,15,9,13,0,17,22,32,132,70,69,39,205,114,80,62,120,70,967,289,89,53,260,145,464,168,124,85,309,114,87,56,50,42,7,11
1400000US22071000615,22071000615,"Census Tract 6.15, Orleans Parish, Louisiana",2912,336,21,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,16,24,36,0,12,52,57,31,41,48,46,71,46,974,328,137,81,119,50,657,185,199,76,407,169,155,80,6,12,0,12
1400000US22071000616,22071000616,"Census Tract 6.16, Orleans Parish, Louisiana",2875,330,20,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,35,38,47,29,31,67,51,47,51,598,171,29,30,95,60,605,177,228,119,707,188,305,88,49,41,33,32
1400000US22071000617,22071000617,"Census Tract 6.17, Orleans Parish, Louisiana",3142,349,21,34,0,12,0,12,0,12,0,12,0,12,33,49,10,15,0,12,0,12,47,71,18,19,28,30,25,36,12,22,841,267,69,75,114,71,657,239,157,117,952,313,158,113,0,12,0,12
1400000US22071000618,22071000618,"Census Tract 6.18, Orleans Parish, Louisiana",2943,308,29,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,16,0,12,13,20,18,28,9,16,30,36,45,54,450,167,0,12,33,28,677,159,190,88,750,174,289,84,259,103,142,73
1400000US22071000701,22071000701,"Census Tract 7.01, Orleans Parish, Louisiana",554,80,17,14,0,12,0,12,0,12,0,12,8,11,0,12,0,12,12,15,3,5,10,11,29,26,26,22,47,31,16,16,140,54,28,24,43,23,124,40,18,18,28,22,5,6,0,12,0,12
1400000US22071000702,22071000702,"Census Tract 7.02, Orleans Parish, Louisiana",1219,183,9,10,0,12,0,12,0,12,0,12,0,12,0,12,13,20,8,11,7,10,19,18,47,42,55,29,131,87,53,36,296,91,59,68,27,20,245,96,57,29,107,54,81,39,5,8,0,12
1400000US22071000800,22071000800,"Census Tract 8, Orleans Parish, Louisiana",1076,162,4,7,0,12,0,12,0,12,0,12,6,8,0,12,5,9,0,12,11,16,15,17,0,12,35,26,64,33,64,38,389,86,40,32,96,55,184,65,46,32,80,60,31,20,0,12,6,10
1400000US22071000901,22071000901,"Census Tract 9.01, Orleans Parish, Louisiana",558,131,35,39,0,12,0,12,0,12,0,12,0,12,0,12,3,5,0,12,3,5,3,6,7,9,70,57,53,35,26,22,102,46,15,18,61,45,82,48,31,28,64,53,3,5,0,12,0,12
1400000US22071000902,22071000902,"Census Tract 9.02, Orleans Parish, Louisiana",368,157,20,22,0,12,0,12,0,12,0,12,0,12,0,12,5,7,13,15,0,12,4,6,12,11,7,13,21,14,0,12,123,72,44,58,8,12,69,51,4,6,34,30,4,6,0,12,0,12
1400000US22071000903,22071000903,"Census Tract 9.03, Orleans Parish, Louisiana",473,108,8,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,8,10,16,0,12,0,12,45,37,29,27,4,6,164,60,31,22,26,22,95,54,16,14,10,10,24,18,5,9,0,12
1400000US22071000904,22071000904,"Census Tract 9.04, Orleans Parish, Louisiana",642,112,2,4,0,12,0,12,0,12,0,12,4,5,0,12,0,12,20,24,4,6,2,5,38,25,23,20,41,30,24,21,173,50,25,19,37,21,116,57,40,33,61,39,26,29,6,9,0,12
1400000US22071001100,22071001100,"Census Tract 11, Orleans Parish, Louisiana",1528,182,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,8,0,12,30,26,19,20,64,39,19,18,71,45,272,81,65,37,84,36,245,87,72,32,372,101,133,45,62,33,15,12
1400000US22071001200,22071001200,"Census Tract 12, Orleans Parish, Louisiana",1633,171,22,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2,4,5,7,0,12,6,8,29,17,25,25,12,12,280,93,42,22,60,33,233,88,22,16,550,122,147,50,136,75,62,35
1400000US22071001301,22071001301,"Census Tract 13.01, Orleans Parish, Louisiana",1501,184,52,35,0,12,0,12,0,12,6,9,0,12,23,25,0,12,5,7,25,24,35,36,42,35,35,23,41,28,32,25,329,94,61,43,46,31,294,94,86,76,297,108,63,56,10,12,19,15
1400000US22071001302,22071001302,"Census Tract 13.02, Orleans Parish, Louisiana",752,120,17,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,19,6,9,0,12,48,35,72,41,50,36,209,68,45,26,16,13,183,88,7,10,58,34,24,19,0,12,0,12
1400000US22071001401,22071001401,"Census Tract 14.01, Orleans Parish, Louisiana",973,139,16,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,9,13,23,24,39,27,34,38,89,54,13,12,372,79,23,19,58,38,167,61,18,13,31,22,43,41,19,32,9,13
1400000US22071001402,22071001402,"Census Tract 14.02, Orleans Parish, Louisiana",1238,135,50,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,31,23,17,19,12,14,13,13,70,39,25,19,327,118,44,31,81,50,285,105,82,41,104,51,92,60,0,12,5,7
1400000US22071001500,22071001500,"Census Tract 15, Orleans Parish, Louisiana",584,132,26,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,3,7,77,59,26,28,22,24,54,46,150,60,12,14,46,29,115,47,14,12,8,9,30,35,1,4,0,12
1400000US22071001600,22071001600,"Census Tract 16, Orleans Parish, Louisiana",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US22071001701,22071001701,"Census Tract 17.01, Orleans Parish, Louisiana",1433,223,9,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,16,10,15,60,43,21,20,0,12,61,33,25,22,394,144,36,29,141,50,277,94,67,38,189,63,116,51,5,7,11,19
1400000US22071001702,22071001702,"Census Tract 17.02, Orleans Parish, Louisiana",1903,257,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,9,13,49,38,83,55,60,48,60,35,40,37,322,119,58,48,90,63,456,109,50,39,413,143,138,52,20,21,45,27
1400000US22071001720,22071001720,"Census Tract 17.20, Orleans Parish, Louisiana",2044,257,18,19,0,12,0,12,0,12,0,12,0,12,12,19,0,12,0,12,0,12,54,66,26,37,31,27,79,56,100,76,628,200,67,53,138,78,641,154,75,57,109,65,53,45,13,19,0,12
1400000US22071001722,22071001722,"Census Tract 17.22, Orleans Parish, Louisiana",2753,339,58,54,0,12,0,12,0,12,0,12,0,12,10,16,26,28,42,40,0,12,16,25,87,75,65,49,169,80,102,63,1030,268,37,41,159,81,477,163,127,86,273,112,54,43,0,12,21,20
1400000US22071001723,22071001723,"Census Tract 17.23, Orleans Parish, Louisiana",3130,329,65,66,0,12,0,12,0,12,20,32,13,21,0,12,0,12,35,42,0,12,84,48,18,21,23,21,64,51,48,44,956,231,90,52,154,64,802,162,169,72,457,155,89,49,43,44,0,12
