GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US06075010100,06075010100,"Census Tract 101, San Francisco County, California",3284,229,147,97,0,12,0,12,0,12,0,12,0,12,0,12,39,60,208,150,0,12,0,12,35,36,0,12,0,12,42,59,359,133,23,39,29,33,416,152,184,85,953,223,559,140,160,114,130,75
1400000US06075010200,06075010200,"Census Tract 102, San Francisco County, California",3830,361,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,58,90,0,12,0,12,0,12,167,92,6,11,75,59,342,132,128,78,1690,345,921,229,281,117,162,94
1400000US06075010300,06075010300,"Census Tract 103, San Francisco County, California",3550,342,110,80,0,12,0,12,0,12,15,23,0,12,0,12,0,12,59,66,0,12,147,91,0,12,11,21,69,92,13,21,212,91,30,39,80,46,393,179,245,111,1232,293,615,188,264,151,55,47
1400000US06075010400,06075010400,"Census Tract 104, San Francisco County, California",4223,448,40,48,0,17,0,17,0,17,0,17,0,17,0,17,0,17,18,29,30,48,92,107,48,68,0,17,34,39,0,17,95,68,77,79,52,46,591,207,170,91,1611,291,868,203,391,179,106,77
1400000US06075010500,06075010500,"Census Tract 105, San Francisco County, California",2263,246,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,25,0,12,0,12,0,12,0,12,35,46,23,26,99,62,35,31,59,37,199,89,92,60,864,177,374,148,233,92,233,105
1400000US06075010600,06075010600,"Census Tract 106, San Francisco County, California",2987,296,231,89,10,14,0,12,0,12,0,12,27,43,22,27,43,49,199,201,0,12,115,85,85,57,52,54,0,12,54,33,475,142,66,60,30,27,173,89,153,65,819,163,335,115,72,38,26,25
1400000US06075010700,06075010700,"Census Tract 107, San Francisco County, California",4368,329,390,161,0,17,30,41,38,61,13,20,139,96,52,67,115,91,348,172,114,99,190,108,382,170,98,74,57,57,99,70,802,270,49,47,83,75,296,148,70,58,873,248,66,63,46,54,18,29
1400000US06075010800,06075010800,"Census Tract 108, San Francisco County, California",3783,329,254,116,0,12,0,12,53,87,0,12,17,31,10,17,20,30,184,127,14,22,28,30,64,69,25,38,27,34,33,39,204,110,15,24,17,27,371,169,105,60,1590,332,449,153,139,91,164,71
1400000US06075010900,06075010900,"Census Tract 109, San Francisco County, California",4058,324,90,89,0,12,0,12,0,12,0,12,18,28,0,12,0,12,76,83,0,12,0,12,0,12,0,12,0,12,2,11,129,75,61,56,16,27,198,116,241,101,1847,284,869,210,434,160,77,74
1400000US06075011000,06075011000,"Census Tract 110, San Francisco County, California",4383,475,216,110,0,12,0,12,0,12,0,12,0,12,0,12,32,55,159,93,0,12,18,30,18,29,10,22,0,12,168,150,180,155,29,36,120,90,435,194,114,99,1655,274,941,289,179,91,109,73
1400000US06075011100,06075011100,"Census Tract 111, San Francisco County, California",4469,377,136,132,0,17,17,29,0,17,0,17,0,17,69,113,0,17,68,106,0,17,0,17,0,17,50,75,88,101,89,81,369,275,19,30,131,83,572,197,122,118,1981,362,645,198,66,51,47,46
1400000US06075011200,06075011200,"Census Tract 112, San Francisco County, California",2925,233,63,53,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,30,0,12,60,41,20,30,34,45,7,12,22,32,177,78,27,33,48,38,147,79,151,68,1241,206,494,164,282,98,134,72
1400000US06075011300,06075011300,"Census Tract 113, San Francisco County, California",2462,188,205,92,0,12,0,12,29,46,100,71,61,52,18,26,122,70,298,146,45,43,68,49,106,87,9,14,0,12,55,52,286,116,17,25,78,52,177,67,80,44,599,139,39,34,53,29,17,20
1400000US06075011700,06075011700,"Census Tract 117, San Francisco County, California",1504,191,49,42,0,12,0,12,0,12,0,12,30,46,12,17,0,12,47,33,0,12,37,47,48,37,0,12,19,22,63,56,215,104,27,29,9,15,213,107,53,39,524,132,97,47,44,31,17,22
1400000US06075011800,06075011800,"Census Tract 118, San Francisco County, California",1237,126,162,66,0,12,0,12,17,27,0,12,16,15,28,30,63,52,76,47,15,15,18,18,36,31,34,30,18,23,41,28,317,92,5,9,10,12,79,39,50,28,197,57,37,29,1,5,17,14
