GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",3781,302,12,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,86,69,16,27,24,27,209,98,33,39,780,184,1284,255,915,209,422,126
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",63,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,23,0,12,0,12,19,23,0,12,0,12,18,21,16,21,0,12
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",2254,247,13,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,16,17,19,0,12,29,31,17,15,36,41,792,151,713,166,363,117,264,99
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",4167,393,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,16,25,0,17,0,17,29,35,180,113,0,17,66,74,76,63,94,64,1415,230,1446,268,555,167,290,115
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",1263,141,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,37,9,15,22,20,0,12,0,12,0,12,9,13,68,40,34,45,10,15,62,44,13,16,273,66,323,77,285,67,120,53
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",2785,231,0,12,9,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,8,0,12,0,12,20,32,44,43,0,12,38,40,106,98,49,61,782,193,905,190,573,170,255,113
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",2480,182,0,12,0,12,0,12,0,12,0,12,24,36,0,12,0,12,0,12,16,26,0,12,0,12,0,12,0,12,12,18,41,31,0,12,31,28,123,48,29,26,731,169,797,124,473,126,203,79
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",3863,280,0,12,0,12,0,12,0,12,0,12,6,15,17,26,0,12,0,12,13,22,38,40,7,15,12,22,0,12,0,12,75,71,46,51,28,32,54,41,75,83,1092,290,1244,257,768,210,388,122
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",4435,286,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,28,45,1,2,0,17,20,33,1,2,14,22,0,17,241,124,21,33,70,52,168,89,82,66,1401,264,1501,304,429,200,458,169
